source,1,2,3,4,5,6,7,8,9,10,11,12
蘋果日報,0.0,132.23169014084507,118.24047954866009,106.50473163841782,96.94349363507781,88.85100887811535,82.1339411646276,76.53206876811046,71.48459453088152,66.87334876344295,63.28655788655459,61.42007781779942,
HKG報 HKGpao,0.0,40.663987138263664,38.75441412520064,36.69163987138267,34.93190630048466,33.24854391194792,31.63088539273834,30.1230894777259,28.99443995691746,27.686153470185825,26.768004434588462,25.604505628373914,
明報即時新聞,0.0,18.229718543046356,16.387759336099585,14.488029925187016,13.040988372093018,11.81402380952349,10.778330758259496,9.958184275378047,9.246855870896386,8.612042798602566,8.111392260133059,7.774091224091715,
有線新聞 i-Cable News,0.0,11.803636363636363,10.300816696914701,9.14935897435898,8.237064220183488,7.533859510654741,6.921448266804965,6.478401989261674,6.033594229588568,5.627077043498298,5.311098974962196,5.026013701166411,
LinePost 線報,0.0,5.921182266009852,5.449096880131363,4.799170812603652,4.514710743801657,4.207284299858828,3.8783003300325607,3.6326897259740014,3.398604201216313,3.190520849089732,2.9447160042636837,2.8344676713657373,
香港電台視像新聞 RTHK VNEWS,0.0,8.378980891719745,7.149681528662421,6.303503184713374,5.7846153846153845,5.447497725204299,5.123417721518878,4.903066606389385,4.625263713079878,4.367913310318774,4.252020202019808,4.060102397601785,
蘋果日報即時新聞,0.0,50.28313577586207,43.05748519116855,37.32008616047385,32.792183288409724,29.237879138690143,26.373629343629982,24.057425997427156,22.16622474747295,20.677480947443467,19.33754456327949,18.471421246304942,
雅虎香港新聞,0.0,19.981776765375855,18.311353211009173,16.689611872146106,15.27602739726026,14.37250982962015,13.407291322996741,12.595593869732662,11.94206989247351,11.266112514028638,10.71414376321305,10.288511251780845,
Stand News 立場新聞,0.0,18.29564489112228,16.13172268907563,14.563769941225837,13.175442291491148,12.107781257529073,11.195900253592864,10.347016274863856,9.616249646593044,9.06959389816641,8.546279576585942,8.005069769532701,
Hong Kong Free Press HKFP,0.0,6.910041841004184,6.183333333333334,5.770746887966806,5.397907949790794,5.043277310924101,4.543442376950113,4.258288125377028,4.002626050421103,3.699678993323233,3.502137904468573,3.312167533320732,
on.cc 東網／東方日報,0.0,14.406446092413006,13.145594965675057,12.064527220630392,11.104790590935151,10.332811218632378,9.722972695122907,9.190380239603495,8.730800653596061,8.323750787318726,7.9568274044794185,7.787468137244114,
01新聞,0.0,11.356965174129353,9.774656679151061,8.450376411543294,7.539812499999994,6.80578956802242,6.259085606604709,5.786035430483634,5.390471698113188,5.033899851716774,4.748392671966164,4.576056019452637,
現場 － 蘋果突發,0.0,46.67874396135266,40.19202898550725,35.68243902439026,31.952926829268307,29.249722607484248,26.896903589027303,25.046270232226856,23.436535303774193,22.0417226451752,20.950904568070307,20.193304007823397,
謎米香港 memehk.com,0.0,9.153061224489797,8.148275862068965,7.421621621621619,6.902380952380952,6.459623015872645,6.29352678571472,5.825574712643221,5.390509259259356,5.088089225587597,4.8148674242415614,4.511148466917539,
香港獨立媒體網,0.0,9.338775510204082,8.828947368421053,8.35469387755102,7.908811475409834,7.499648711943991,7.0763848396524525,6.718188914909939,6.385048010972559,6.097776949827147,5.815974560419406,5.7297954238750535,
信報財經新聞 hkej.com,0.0,5.726955307262569,5.199509116409537,4.679061624649859,4.24367088607595,3.8996589085068822,3.5800926858757696,3.3244131219899353,3.101582278480991,2.905501493811303,2.737812258562646,2.5727838338133293,
South China Morning Post,0.0,19.28659476117103,18.119414483821263,16.80362654320989,15.760248447204988,14.920615110317671,14.057979910713083,13.418625914315836,12.811037095088858,12.249718886982407,11.84569754145147,12.697485528825702,
時聞香港,0.0,14.404585798816568,13.645710059171599,12.763111111111114,12.029197622585444,11.438045560996754,10.8849946695092,10.40922394598799,9.942619047617859,9.522608972611259,9.189745179062783,8.786507439491519,
852郵報,0.0,10.07011070110701,8.906826568265682,8.20853432282003,7.608550185873594,6.972843791722799,6.594034242910808,6.1817042606518005,5.805220125786643,5.4510303030304526,5.18277097902202,4.8289638788632985,
頭條日報,0.0,6.564944134078212,6.302576601671309,5.9650070126227215,5.5693706293706295,5.224321628092809,4.9055549989984994,4.637489967896909,4.394094304388595,4.190623132735819,3.9988411022407595,3.7923786739578187,
Mingpao Investigative Team (明報偵查報道),0.0,4.758333333333334,4.516393442622951,4.288333333333332,4.150819672131146,4.086182669788065,4.0339578454306055,3.976488095240833,3.8568055555548333,3.7121212121217364,3.645757575757533,3.5894230769241005,
明周娛樂 Ming Pao Weekly,0.0,8.70054945054945,8.599447513812155,8.144166666666669,7.707222222222221,7.302841357538715,6.981362217017735,6.733516483516684,6.50645604395662,6.308720538718987,6.1421533773484525,6.003072072437168,
東網巨星,0.0,10.357806691449815,9.188785046728972,8.232276119402988,7.488826815642458,6.902071163038069,6.446130400212803,6.054391682185746,5.7131261595551734,5.4059987631408735,5.153041568097327,4.9276322269279005,
香港經濟日報 hket.com,0.0,4.4144385026737964,4.453083109919571,4.153989361702122,3.8613031914893616,3.6525333333333445,3.4585714285712323,3.2765616999487377,3.1347408400355246,2.9756360395397388,2.779845626071777,2.5674172624029645,
am730,0.0,6.943589743589744,6.5625,6.244358974358975,5.9713917525773175,5.618901098903507,5.396446980853615,5.162749814951074,5.027473958334855,4.861359711100808,4.748650568181547,4.831866744367085,
壹週刊,0.0,12.88103448275862,11.923010380622838,10.200347222222222,9.418904593639574,8.763806158503556,8.20171727227474,7.756349206348937,7.342865497076611,6.9916959064339546,6.708360389610653,6.575615174299292,
